"region";"country background";"Unemployed persons in per cent of persons in total 2020K4"
"1825 Grane";"Immigrants";3.6
"1826 Hattfjelldal";"Total";0.5
"1826 Hattfjelldal";"Immigrants";:
"1827 D?nna";"Total";1.7
"1827 D?nna";"Immigrants";2.9
"1828 Nesna";"Total";1.5
"1828 Nesna";"Immigrants";5.2
"1832 Hemnes";"Total";1.3
"1832 Hemnes";"Immigrants";3.9
"1833 Rana";"Total";1.9
"1833 Rana";"Immigrants";6.1
"1834 Lur?y";"Total";1.1
"1834 Lur?y";"Immigrants";2.1
"1835 Tr?na";"Total";0.9
"1835 Tr?na";"Immigrants";:
"1836 R?d?y";"Total";:
"1836 R?d?y";"Immigrants";:
"1837 Mel?y";"Total";1.4
"1837 Mel?y";"Immigrants";2.8
"1838 Gildesk?l";"Total";1.3
"1838 Gildesk?l";"Immigrants";1.9
"1839 Beiarn";"Total";1.4
"1839 Beiarn";"Immigrants";:
"1840 Saltdal";"Total";1.8
"1840 Saltdal";"Immigrants";5.7
"1841 Fauske - Fuosko";"Total";1.3
"1841 Fauske - Fuosko";"Immigrants";2.9
"1845 S?rfold";"Total";1.1
"1845 S?rfold";"Immigrants";2.4
"1848 Steigen";"Total";1.0
"1848 Steigen";"Immigrants";1.2
"1851 L?dingen";"Total";1.7
"1851 L?dingen";"Immigrants";3.6
"1853 Evenes";"Total";1.8
"1853 Evenes";"Immigrants";4.6
"1856 R?st";"Total";4.7
"1856 R?st";"Immigrants";:
"1857 V?r?y";"Total";5.7
"1857 V?r?y";"Immigrants";11.9
"1859 Flakstad";"Total";3.8
"1859 Flakstad";"Immigrants";:
"1860 Vestv?g?y";"Total";3.0
"1860 Vestv?g?y";"Immigrants";9.0
"1865 V?gan";"Total";2.6
"1865 V?gan";"Immigrants";6.7
"1866 Hadsel";"Total";1.5
"1866 Hadsel";"Immigrants";3.8
"1867 B? (Nordland)";"Total";2.5
"1867 B? (Nordland)";"Immigrants";5.7
"1868 ?ksnes";"Total";2.5
"1868 ?ksnes";"Immigrants";9.7
"1870 Sortland - Suort?";"Total";1.7
"1870 Sortland - Suort?";"Immigrants";4.7
"1871 And?y";"Total";2.1
"1871 And?y";"Immigrants";8.8
"1874 Moskenes";"Total";8.3
"1874 Moskenes";"Immigrants";17.9
"1875 Hamar?y";"Total";1.5
"1875 Hamar?y";"Immigrants";3.4
"5401 Troms?";"Total";2.1
"5401 Troms?";"Immigrants";5.0
"5402 Harstad";"Total";1.8
"5402 Harstad";"Immigrants";4.7
"5403 Alta";"Total";2.1
"5403 Alta";"Immigrants";4.5
"5404 Vard?";"Total";2.5
"5404 Vard?";"Immigrants";4.5
"5405 Vads?";"Total";1.9
"5405 Vads?";"Immigrants";3.8
"5406 Hammerfest";"Total";2.0
"5406 Hammerfest";"Immigrants";4.8
"5411 Kv?fjord";"Total";1.4
"5411 Kv?fjord";"Immigrants";3.3
"5412 Tjeldsund";"Total";1.3
"5412 Tjeldsund";"Immigrants";3.4
"5413 Ibestad";"Total";0.8
"5413 Ibestad";"Immigrants";2.2
"5414 Gratangen";"Total";2.0
"5414 Gratangen";"Immigrants";5.3
"5415 Loab?k - Lavangen";"Total";1.7
"5415 Loab?k - Lavangen";"Immigrants";:
"5416 Bardu";"Total";:
"5416 Bardu";"Immigrants";:
"5417 Salangen";"Total";:
"5417 Salangen";"Immigrants";:
"5418 M?lselv";"Total";1.3
"5418 M?lselv";"Immigrants";2.5
"5419 S?rreisa";"Total";1.3
"5419 S?rreisa";"Immigrants";3.2
"5420 Dyr?y";"Total";1.8
"5420 Dyr?y";"Immigrants";:
"5421 Senja";"Total";1.8
"5421 Senja";"Immigrants";4.5
"5422 Balsfjord";"Total";1.9
"5422 Balsfjord";"Immigrants";5.6
"5423 Karls?y";"Total";1.6
"5423 Karls?y";"Immigrants";2.0
"5424 Lyngen";"Total";1.4
"5424 Lyngen";"Immigrants";4.0
"5425 Storfjord - Omasvuotna - Omasvuono";"Total";1.6
"5425 Storfjord - Omasvuotna - Omasvuono";"Immigrants";4.7
"5426 G?ivuotna - K?fjord - Kaivuono";"Total";2.4
"5426 G?ivuotna - K?fjord - Kaivuono";"Immigrants";7.4
"5427 Skjerv?y";"Total";1.6
"5427 Skjerv?y";"Immigrants";4.2
"5428 Nordreisa";"Total";2.1
"5428 Nordreisa";"Immigrants";5.1
"5429 Kv?nangen";"Total";:
"5429 Kv?nangen";"Immigrants";:
"5430 Guovdageaidnu - Kautokeino";"Total";2.9
"5430 Guovdageaidnu - Kautokeino";"Immigrants";3.2
"5432 Loppa";"Total";1.7
"5432 Loppa";"Immigrants";2.6
"5433 Hasvik";"Total";5.0
"5433 Hasvik";"Immigrants";17.3
"5434 M?s?y";"Total";4.9
"5434 M?s?y";"Immigrants";11.6
"5435 Nordkapp";"Total";4.4
"5435 Nordkapp";"Immigrants";10.8
"5436 Porsanger - Pors?ngu - Porsanki?";"Total";1.7
"5436 Porsanger - Pors?ngu - Porsanki?";"Immigrants";3.5
"5437 K?r?sjohka - Karasjok";"Total";2.2
"5437 K?r?sjohka - Karasjok";"Immigrants";2.9
"5438 Lebesby";"Total";2.8
"5438 Lebesby";"Immigrants";3.1
"5439 Gamvik";"Total";3.9
"5439 Gamvik";"Immigrants";5.1
"5440 Berlev?g";"Total";2.1
"5440 Berlev?g";"Immigrants";2.2
